Date,Province,District,Ga.Pa/Na.Pa.,Ward,Protected Area,Confidence,Lat,Lon,YEAR,DOY,T2M_MIN,T2M_MAX,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WD2M,GWETTOP,GWETROOT
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,76,27.25027,84.86613,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,28,27.25079,84.87077,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,56,27.27755,84.96736,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,60,27.25591,84.86469,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
3/27/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,29,27.28605,84.80263,2022,86,19.68,36.47,27.7,6.77,31.5,0.0,2.35,199.62,0.34,0.4
4/27/2021,bagmati,Makawanpur,Parsa Wildlife Reserve,99,Parsa National Park,69,27.446,84.759,2021,117,20.16,35.54,27.8,5.31,22.75,0.0,2.57,147.19,0.31,0.36
4/27/2021,bagmati,Makawanpur,Parsa Wildlife Reserve,99,Parsa National Park,80,27.444,84.747,2021,117,20.16,35.54,27.8,5.31,22.75,0.0,2.57,147.19,0.31,0.36
4/27/2021,bagmati,Makawanpur,Parsa Wildlife Reserve,99,Parsa National Park,56,27.452,84.752,2021,117,20.16,35.54,27.8,5.31,22.75,0.0,2.57,147.19,0.31,0.36
4/24/2021,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,79,27.401,84.737,2021,114,23.14,39.48,31.35,7.26,27.44,0.0,2.32,175.25,0.34,0.38
3/19/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,70,27.25284,84.94117,2022,78,24.43,37.89,30.0,10.56,40.94,0.0,2.34,225.88,0.38,0.43
3/23/2022,bagmati,Makawanpur,Parsa Wildlife Reserve,99,Parsa National Park,46,27.44715,84.79288,2022,82,18.59,31.61,24.8,7.75,38.62,1.23,2.31,159.69,0.41,0.45
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,57,27.35131,84.82799,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,86,27.34206,84.82982,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,87,27.3438,84.84072,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,71,27.32408,84.77708,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,82,27.32583,84.788,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,82,27.33281,84.83166,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,93,27.33455,84.84253,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,23,27.32356,84.83347,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,60,27.25169,84.96571,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,78,27.23904,84.94601,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,83,27.24076,84.95678,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,96,27.23378,84.95251,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,48,27.32839,84.82446,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,bara,Nijgadh,11,Parsa National Park,46,27.2338,85.07393,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,bara,Nijgadh,4,Parsa National Park,75,27.22295,85.06507,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/23/2022,Madhes,bara,Nijgadh,11,Parsa National Park,62,27.26055,85.05949,2022,82,21.3,35.94,28.03,7.93,35.56,0.43,2.25,200.12,0.38,0.41
3/24/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,70,27.36779,84.74426,2022,83,21.06,36.24,27.9,7.63,34.31,0.24,3.57,294.88,0.37,0.41
3/24/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,86,27.34133,84.8014,2022,83,21.06,36.24,27.9,7.63,34.31,0.24,3.57,294.88,0.37,0.41
3/24/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,34,27.33989,84.81145,2022,83,21.06,36.24,27.9,7.63,34.31,0.24,3.57,294.88,0.37,0.41
